edition_ID,City_ID,Language,State,Month,Copies Sold,copies_returned,Net_Circulation,Year
ED1008,C008,Hindi,Uttar Pradesh,Mar-19,377684,22830,354854,2019
ED1001,C001,hindi,Uttar pradesh,Jun-21,185010,12024,172986,2021
ED1003,C003,Hindi,Madhya_Pradesh,Jan-24,â‚¹212594,8304,204290,2024
ED1010,C010,Hindi,Uttar-Pradesh,Jun-23,404964,12252,392712,2023
ED1004,C004,Hindi,bihar,Feb-23,211696,7360,204336,2023
ED1005,C005,Hindi,Rajasthan,Sep-24,351552,20359,331193,2024
ED1007,C007,Hindi,Jharkhand,Feb-22,215220,12387,202833,2022
ED1010,C010,Hindi,Uttar-Pradesh,Aug-20,â‚¹439256,15046,424210,2020
ED1007,C007,Hindi,Jharkhand,Jun-20,â‚¹234837,17358,217479,2020
ED1007,C007,Hindi,Jharkhand,Jan-19,244851,15400,229451,2019
ED1009,C009,Hindi,gujarat,Aug-22,263343,11298,252045,2022
ED1004,C004,Hindi,bihar,May-22,â‚¹225790,8189,217601,2022
ED1005,C005,Hindi,Rajasthan,Jun-24,359048,23375,335673,2024
ED1007,C007,Hindi,Jharkhand,Aug-19,252600,10479,242121,2019
ED1003,C003,Hindi,Madhya_Pradesh,Sep-21,249931,11173,238758,2021
ED1004,C004,Hindi,bihar,Dec-20,245115,8048,237067,2020
ED1006,C006,english,maharashtra,Jul-24,318741,21801,296940,2024
ED1002,C002,ENGLISH,Delhi,Jun-24,297083,22671,274412,2024
ED1003,C003,Hindi,Madhya_Pradesh,May-23,232941,18260,214681,2023
ED1010,C010,Hindi,Uttar-Pradesh,Mar-21,417421,25048,392373,2021
ED1003,C003,Hindi,Madhya_Pradesh,Aug-20,281482,12595,268887,2020
ED1005,C005,Hindi,Rajasthan,Aug-24,358432,16536,341896,2024
ED1009,C009,Hindi,gujarat,Aug-23,255668,15172,240496,2023
ED1007,C007,Hindi,Jharkhand,Mar-22,200941,14065,186876,2022
ED1009,C009,Hindi,gujarat,Mar-19,327435,22851,304584,2019
ED1007,C007,Hindi,Jharkhand,Jan-22,203847,13715,190132,2022
ED1005,C005,Hindi,Rajasthan,Aug-21,421999,13339,408660,2021
ED1008,C008,Hindi,Uttar Pradesh,Jul-21,341449,18181,323268,2021
ED1002,C002,ENGLISH,Delhi,Sep-21,352928,22534,330394,2021
ED1002,C002,ENGLISH,Delhi,Jul-22,323679,21547,302132,2022
ED1010,C010,Hindi,Uttar-Pradesh,Apr-21,443605,31772,411833,2021
ED1003,C003,Hindi,Madhya_Pradesh,Sep-24,212229,11973,200256,2024
ED1009,C009,Hindi,gujarat,Oct-24,247205,10947,236258,2024
ED1006,C006,english,maharashtra,Oct-20,387298,30334,356964,2020
ED1002,C002,ENGLISH,Delhi,Sep-20,375918,19433,356485,2020
ED1001,C001,hindi,Uttar pradesh,Aug-19,205447,12781,192666,2019
ED1002,C002,ENGLISH,Delhi,Jun-20,370168,20752,349416,2020
ED1008,C008,Hindi,Uttar Pradesh,Jun-22,309216,14045,295171,2022
ED1010,C010,Hindi,Uttar-Pradesh,May-22,423964,26807,397157,2022
ED1008,C008,Hindi,Uttar Pradesh,Nov-21,358005,21923,336082,2021
ED1008,C008,Hindi,Uttar Pradesh,Dec-22,325235,10835,314400,2022
ED1009,C009,Hindi,gujarat,Nov-20,305201,22834,282367,2020
ED1010,C010,Hindi,Uttar-Pradesh,Feb-23,373504,11939,361565,2023
ED1002,C002,ENGLISH,Delhi,Sep-24,â‚¹292026,19106,272920,2024
ED1001,C001,hindi,Uttar pradesh,May-21,â‚¹192181,10922,181259,2021
ED1001,C001,hindi,Uttar pradesh,Aug-22,168287,7054,161233,2022
ED1001,C001,hindi,Uttar pradesh,Jul-22,179596,8762,170834,2022
ED1002,C002,ENGLISH,Delhi,Feb-19,371419,23489,347930,2019
ED1003,C003,Hindi,Madhya_Pradesh,Dec-20,260310,20595,239715,2020
ED1008,C008,Hindi,Uttar Pradesh,Jun-23,304510,10203,294307,2023
ED1009,C009,Hindi,gujarat,Jun-23,247690,12116,235574,2023
ED1001,C001,hindi,Uttar pradesh,Jul-24,160376,6900,153476,2024
ED1001,C001,hindi,Uttar pradesh,Dec-19,201150,15258,185892,2019
ED1005,C005,Hindi,Rajasthan,Mar-22,407619,21910,385709,2022
ED1009,C009,Hindi,gujarat,Nov-19,321586,24801,296785,2019
ED1003,C003,Hindi,Madhya_Pradesh,Nov-21,263279,12141,251138,2021
ED1004,C004,Hindi,bihar,Nov-24,195545,11170,184375,2024
ED1008,C008,Hindi,Uttar Pradesh,Aug-22,333280,23147,310133,2022
ED1007,C007,Hindi,Jharkhand,Mar-19,240891,9682,231209,2019
ED1010,C010,Hindi,Uttar-Pradesh,Jan-22,430430,16040,414390,2022
ED1007,C007,Hindi,Jharkhand,Aug-20,242274,17654,224620,2020
ED1003,C003,Hindi,Madhya_Pradesh,Oct-21,251391,19909,231482,2021
ED1008,C008,Hindi,Uttar Pradesh,Oct-19,384291,12636,371655,2019
ED1010,C010,Hindi,Uttar-Pradesh,Feb-19,499292,22929,476363,2019
ED1002,C002,ENGLISH,Delhi,Dec-19,395790,12887,382903,2019
ED1004,C004,Hindi,bihar,Mar-19,276670,11636,265034,2019
ED1007,C007,Hindi,Jharkhand,Jun-23,202048,6080,195968,2023
ED1008,C008,Hindi,Uttar Pradesh,Apr-19,â‚¹398299,16477,381822,2019
ED1007,C007,Hindi,Jharkhand,Dec-21,210325,16350,193975,2021
ED1009,C009,Hindi,gujarat,Oct-22,285568,16700,268868,2022
ED1009,C009,Hindi,gujarat,Oct-23,268108,14074,254034,2023
ED1006,C006,english,maharashtra,Mar-24,330634,21466,309168,2024
ED1002,C002,ENGLISH,Delhi,Aug-19,â‚¹379822,21149,358673,2019
ED1001,C001,hindi,Uttar pradesh,Dec-20,204263,10604,193659,2020
ED1001,C001,hindi,Uttar pradesh,Apr-20,193147,11422,181725,2020
ED1006,C006,english,maharashtra,Apr-23,321252,11856,309396,2023
ED1007,C007,Hindi,Jharkhand,Feb-20,240730,17118,223612,2020
ED1004,C004,Hindi,bihar,Dec-23,208141,12397,195744,2023
ED1004,C004,Hindi,bihar,Aug-21,229744,9684,220060,2021
ED1005,C005,Hindi,Rajasthan,Sep-19,511248,26801,484447,2019
ED1008,C008,Hindi,Uttar Pradesh,Feb-21,359948,15287,344661,2021
ED1007,C007,Hindi,Jharkhand,Aug-23,186610,8792,177818,2023
ED1004,C004,Hindi,bihar,Jan-23,207491,10981,196510,2023
ED1006,C006,english,maharashtra,Sep-20,395698,28423,367275,2020
ED1005,C005,Hindi,Rajasthan,Aug-22,429263,13831,415432,2022
ED1005,C005,Hindi,Rajasthan,Nov-22,416265,18289,397976,2022
ED1006,C006,english,maharashtra,Jun-24,327225,10187,317038,2024
ED1001,C001,hindi,Uttar pradesh,Oct-19,205192,6805,198387,2019
ED1004,C004,Hindi,bihar,Oct-21,233994,14684,219310,2021
ED1001,C001,hindi,Uttar pradesh,Nov-20,195830,12781,183049,2020
ED1004,C004,Hindi,bihar,Jun-19,277718,11991,265727,2019
ED1009,C009,Hindi,gujarat,May-23,268292,15003,253289,2023
ED1010,C010,Hindi,Uttar-Pradesh,Sep-23,405577,27776,377801,2023
ED1006,C006,english,maharashtra,Mar-19,432945,18010,414935,2019
ED1009,C009,Hindi,gujarat,Feb-21,286431,14594,271837,2021
ED1003,C003,Hindi,Madhya_Pradesh,Dec-23,216335,17008,199327,2023
ED1006,C006,english,maharashtra,Oct-24,303020,9716,293304,2024
ED1002,C002,ENGLISH,Delhi,Oct-20,â‚¹360098,17536,342562,2020
ED1008,C008,Hindi,Uttar Pradesh,Aug-23,298630,11882,286748,2023
ED1004,C004,Hindi,bihar,Sep-24,197044,9743,187301,2024
ED1006,C006,english,maharashtra,Oct-22,341316,10682,330634,2022
ED1003,C003,Hindi,Madhya_Pradesh,May-22,229715,13548,216167,2022
ED1009,C009,Hindi,gujarat,May-19,321591,22719,298872,2019
ED1005,C005,Hindi,Rajasthan,Mar-21,454923,29154,425769,2021
ED1003,C003,Hindi,Madhya_Pradesh,Oct-19,291318,15276,276042,2019
ED1002,C002,ENGLISH,Delhi,Apr-19,385918,15631,370287,2019
ED1006,C006,english,maharashtra,Jan-19,421894,22522,399372,2019
ED1004,C004,Hindi,bihar,Feb-24,197427,7095,190332,2024
ED1001,C001,hindi,Uttar pradesh,Sep-24,156904,6338,150566,2024
ED1006,C006,english,maharashtra,Feb-23,322438,17714,304724,2023
ED1003,C003,Hindi,Madhya_Pradesh,Sep-22,230079,13853,216226,2022
ED1004,C004,Hindi,bihar,Aug-23,218647,11455,207192,2023
ED1004,C004,Hindi,bihar,Sep-20,245314,13157,232157,2020
ED1002,C002,ENGLISH,Delhi,May-20,349433,22561,326872,2020
ED1009,C009,Hindi,gujarat,Oct-21,302901,14184,288717,2021
ED1002,C002,ENGLISH,Delhi,Oct-22,320199,24615,295584,2022
ED1002,C002,ENGLISH,Delhi,Jun-23,315684,17506,298178,2023
ED1009,C009,Hindi,gujarat,Mar-20,319438,14097,305341,2020
ED1005,C005,Hindi,Rajasthan,Feb-19,474309,17406,456903,2019
ED1004,C004,Hindi,bihar,Nov-20,254696,11582,243114,2020
ED1001,C001,hindi,Uttar pradesh,Jan-19,211806,11669,200137,2019
ED1010,C010,Hindi,Uttar-Pradesh,Apr-24,345007,12867,332140,2024
ED1005,C005,Hindi,Rajasthan,Sep-22,395706,22363,373343,2022
ED1008,C008,Hindi,Uttar Pradesh,Jan-20,â‚¹357592,13802,343790,2020
ED1006,C006,english,maharashtra,Oct-19,402349,13818,388531,2019
ED1004,C004,Hindi,bihar,Mar-24,191673,7207,184466,2024
ED1002,C002,ENGLISH,Delhi,Sep-22,333296,26422,306874,2022
ED1004,C004,Hindi,bihar,Jan-20,242186,11562,230624,2020
ED1005,C005,Hindi,Rajasthan,Oct-22,434571,22479,412092,2022
ED1005,C005,Hindi,Rajasthan,Nov-23,376918,25370,351548,2023
ED1004,C004,Hindi,bihar,Nov-23,202428,10508,191920,2023
ED1010,C010,Hindi,Uttar-Pradesh,Apr-22,395165,31086,364079,2022
ED1003,C003,Hindi,Madhya_Pradesh,Jan-19,282436,10768,271668,2019
ED1006,C006,english,maharashtra,May-23,325865,14547,311318,2023
ED1006,C006,english,maharashtra,Sep-22,350362,25717,324645,2022
ED1010,C010,Hindi,Uttar-Pradesh,Mar-19,500405,28526,471879,2019
ED1008,C008,Hindi,Uttar Pradesh,Aug-20,366111,19900,346211,2020
ED1004,C004,Hindi,bihar,May-23,212634,8837,203797,2023
ED1007,C007,Hindi,Jharkhand,Jun-24,178080,8753,169327,2024
ED1005,C005,Hindi,Rajasthan,Aug-20,445977,30381,415596,2020
ED1005,C005,Hindi,Rajasthan,Nov-20,477280,23079,454201,2020
ED1001,C001,hindi,Uttar pradesh,Nov-22,183103,8634,174469,2022
ED1004,C004,Hindi,bihar,Oct-22,215446,14739,200707,2022
ED1003,C003,Hindi,Madhya_Pradesh,Apr-23,238467,9716,228751,2023
ED1010,C010,Hindi,Uttar-Pradesh,Dec-24,374180,26217,347963,2024
ED1009,C009,Hindi,gujarat,Mar-21,296487,10136,286351,2021
ED1002,C002,ENGLISH,Delhi,Dec-21,328098,22971,305127,2021
ED1007,C007,Hindi,Jharkhand,Mar-24,178757,9871,168886,2024
ED1008,C008,Hindi,Uttar Pradesh,Oct-21,332029,20139,311890,2021
ED1005,C005,Hindi,Rajasthan,Feb-24,362743,22008,340735,2024
ED1002,C002,ENGLISH,Delhi,May-21,333290,17654,315636,2021
ED1006,C006,english,maharashtra,Apr-22,341419,12054,329365,2022
ED1009,C009,Hindi,gujarat,Aug-24,231195,7247,223948,2024
ED1008,C008,Hindi,Uttar Pradesh,Jun-20,379174,20291,358883,2020
ED1006,C006,english,maharashtra,Feb-19,420971,30706,390265,2019
ED1003,C003,Hindi,Madhya_Pradesh,Dec-21,258495,10417,248078,2021
ED1005,C005,Hindi,Rajasthan,May-20,457401,22914,434487,2020
ED1009,C009,Hindi,gujarat,Jun-22,264467,13767,250700,2022
ED1010,C010,Hindi,Uttar-Pradesh,Aug-22,418387,32968,385419,2022
ED1003,C003,Hindi,Madhya_Pradesh,Jun-19,276093,8698,267395,2019
ED1002,C002,ENGLISH,Delhi,May-23,307469,18023,289446,2023
ED1008,C008,Hindi,Uttar Pradesh,May-24,297245,19047,278198,2024
ED1009,C009,Hindi,gujarat,Jan-23,â‚¹253619,9662,243957,2023
ED1003,C003,Hindi,Madhya_Pradesh,Jun-22,253273,13780,239493,2022
ED1010,C010,Hindi,Uttar-Pradesh,Sep-22,399465,25537,373928,2022
ED1006,C006,english,maharashtra,May-24,321247,20089,301158,2024
ED1006,C006,english,maharashtra,Dec-19,405002,23327,381675,2019
ED1010,C010,Hindi,Uttar-Pradesh,Feb-24,354606,14872,339734,2024
ED1008,C008,Hindi,Uttar Pradesh,Mar-20,371097,12480,358617,2020
ED1005,C005,Hindi,Rajasthan,Oct-21,439290,17740,421550,2021
ED1010,C010,Hindi,Uttar-Pradesh,Aug-23,401511,15689,385822,2023
ED1002,C002,ENGLISH,Delhi,Nov-24,290649,15885,274764,2024
ED1002,C002,ENGLISH,Delhi,Oct-24,287361,21671,265690,2024
ED1006,C006,english,maharashtra,Apr-24,301702,22930,278772,2024
ED1005,C005,Hindi,Rajasthan,Sep-21,449135,28770,420365,2021
ED1001,C001,hindi,Uttar pradesh,2020/08,198483,13054,185429,2020
ED1003,C003,Hindi,Madhya_Pradesh,May-21,259870,10840,249030,2021
ED1009,C009,Hindi,gujarat,Sep-19,307061,13997,293064,2019
ED1005,C005,Hindi,Rajasthan,Jan-21,427627,14963,412664,2021
ED1010,C010,Hindi,Uttar-Pradesh,Oct-20,436144,31892,404252,2020
ED1001,C001,hindi,Uttar pradesh,Jan-20,192078,6990,185088,2020
ED1005,C005,Hindi,Rajasthan,Jun-20,483654,14859,468795,2020
ED1005,C005,Hindi,Rajasthan,Jul-24,348448,15182,333266,2024
ED1001,C001,hindi,Uttar pradesh,2021/02,179246,7859,171387,2021
ED1008,C008,Hindi,Uttar Pradesh,Aug-21,333142,12782,320360,2021
ED1003,C003,Hindi,Madhya_Pradesh,Feb-21,257262,19914,237348,2021
